Stat Name,2022 Win,2022 Loss,2022 Win %,Last 3 Win,Last 3 Loss,Last 3 Win %,Last 1 Win,Last 1 Loss,Last 1 Win %,Home Win,Home Loss,Home Win %,Away Win,Away Loss,Away Win %
points-per-game,74,74,0.5,83,63,0.5684931506849316,83,62,0.5724137931034483,71,77,-0.5202702702702703,82,66,0.5540540540540541
average-scoring-margin,90,58,0.6081081081081081,95,53,0.6418918918918919,92,54,0.6301369863013698,80,68,0.5405405405405406,84,64,0.5675675675675675
offensive-efficiency,71,74,-0.5103448275862069,84,63,0.5714285714285714,82,65,0.5578231292517006,76,71,0.5170068027210885,83,63,0.5684931506849316
floor-percentage,77,71,0.5202702702702703,83,63,0.5684931506849316,78,67,0.5379310344827586,73,74,-0.5034013605442177,83,64,0.564625850340136
1st-half-points-per-game,74,70,0.5138888888888888,81,65,0.5547945205479452,76,65,0.5390070921985816,69,78,-0.5306122448979592,79,67,0.541095890410959
2nd-half-points-per-game,66,82,-0.5540540540540541,83,64,0.564625850340136,75,65,0.5357142857142857,68,78,-0.5342465753424658,75,71,0.5136986301369864
overtime-points-per-game,59,53,0.5267857142857143,18,17,0.5142857142857142,7,1,0.875,30,33,-0.5238095238095238,47,41,0.5340909090909091
average-1st-half-margin,80,68,0.5405405405405406,82,62,0.5694444444444444,83,59,0.5845070422535211,76,71,0.5170068027210885,80,68,0.5405405405405406
average-2nd-half-margin,88,59,0.5986394557823129,87,57,0.6041666666666666,88,54,0.6197183098591549,86,61,0.5850340136054422,84,63,0.5714285714285714
average-overtime-margin,63,49,0.5625,20,14,0.5882352941176471,4,4,0.5,35,29,0.546875,49,39,0.5568181818181818
points-from-2-pointers,75,72,0.5102040816326531,76,65,0.5390070921985816,75,68,0.5244755244755245,74,71,0.5103448275862069,73,74,-0.5034013605442177
points-from-3-pointers,78,68,0.5342465753424658,73,70,0.5104895104895105,76,61,0.5547445255474452,74,71,0.5103448275862069,82,62,0.5694444444444444
percent-of-points-from-2-pointers,73,75,-0.5067567567567568,75,72,0.5102040816326531,71,77,-0.5202702702702703,80,67,0.54421768707483,75,72,0.5102040816326531
percent-of-points-from-3-pointers,81,65,0.5547945205479452,74,74,0.5,73,73,0.5,71,75,-0.5136986301369864,73,73,0.5
percent-of-points-from-free-throws,72,75,-0.5102040816326531,73,75,-0.5067567567567568,81,67,0.5472972972972973,81,66,0.5510204081632653,68,80,-0.5405405405405406
shooting-pct,71,77,-0.5202702702702703,83,65,0.5608108108108109,78,69,0.5306122448979592,66,81,-0.5510204081632653,75,71,0.5136986301369864
effective-field-goal-pct,75,71,0.5136986301369864,89,58,0.6054421768707483,79,67,0.541095890410959,69,78,-0.5306122448979592,79,68,0.5374149659863946
three-point-pct,77,69,0.5273972602739726,78,68,0.5342465753424658,83,65,0.5608108108108109,72,75,-0.5102040816326531,81,67,0.5472972972972973
two-point-pct,71,77,-0.5202702702702703,84,62,0.5753424657534246,75,71,0.5136986301369864,76,72,0.5135135135135135,71,76,-0.5170068027210885
free-throw-pct,66,81,-0.5510204081632653,73,75,-0.5067567567567568,79,67,0.541095890410959,71,76,-0.5170068027210885,69,77,-0.5273972602739726
true-shooting-percentage,73,73,0.5,86,62,0.581081081081081,78,70,0.527027027027027,69,79,-0.5337837837837838,74,74,0.5
field-goals-made-per-game,76,71,0.5170068027210885,82,63,0.5655172413793104,77,66,0.5384615384615384,67,77,-0.5347222222222222,77,69,0.5273972602739726
field-goals-attempted-per-game,79,67,0.541095890410959,78,66,0.5416666666666666,73,71,0.5069444444444444,73,73,0.5,75,69,0.5208333333333334
three-pointers-made-per-game,76,66,0.5352112676056338,73,70,0.5104895104895105,76,61,0.5547445255474452,74,71,0.5103448275862069,81,61,0.5704225352112676
three-pointers-attempted-per-game,79,67,0.541095890410959,75,70,0.5172413793103449,76,64,0.5428571428571428,74,71,0.5103448275862069,75,70,0.5172413793103449
free-throws-made-per-game,72,72,0.5,73,74,-0.5034013605442177,77,64,0.5460992907801419,79,66,0.5448275862068965,71,75,-0.5136986301369864
free-throws-attempted-per-game,76,71,0.5170068027210885,80,65,0.5517241379310345,78,62,0.5571428571428572,80,65,0.5517241379310345,74,73,0.5034013605442177
three-point-rate,75,73,0.5067567567567568,75,72,0.5102040816326531,76,72,0.5135135135135135,74,74,0.5,78,70,0.527027027027027
two-point-rate,73,75,-0.5067567567567568,72,75,-0.5102040816326531,72,76,-0.5135135135135135,74,74,0.5,70,78,-0.527027027027027
fta-per-fga,71,75,-0.5136986301369864,73,75,-0.5067567567567568,76,72,0.5135135135135135,79,69,0.5337837837837838,69,79,-0.5337837837837838
ftm-per-100-possessions,73,75,-0.5067567567567568,71,77,-0.5202702702702703,79,68,0.5374149659863946,85,63,0.5743243243243243,69,79,-0.5337837837837838
free-throw-rate,77,70,0.5238095238095238,70,77,-0.5238095238095238,79,69,0.5337837837837838,80,67,0.54421768707483,72,75,-0.5102040816326531
non-blocked-2-pt-pct,75,69,0.5208333333333334,80,68,0.5405405405405406,77,69,0.5273972602739726,76,69,0.5241379310344828,77,71,0.5202702702702703
offensive-rebounds-per-game,79,66,0.5448275862068965,77,67,0.5347222222222222,78,55,0.5864661654135338,79,65,0.5486111111111112,75,71,0.5136986301369864
defensive-rebounds-per-game,74,71,0.5103448275862069,75,67,0.528169014084507,81,61,0.5704225352112676,73,73,0.5,81,66,0.5510204081632653
team-rebounds-per-game,69,71,-0.5071428571428571,66,70,-0.5147058823529411,65,54,0.5462184873949579,67,75,-0.528169014084507,77,67,0.5347222222222222
total-rebounds-per-game,81,65,0.5547945205479452,72,72,0.5,82,59,0.5815602836879432,75,72,0.5102040816326531,83,64,0.564625850340136
offensive-rebounding-pct,80,68,0.5405405405405406,72,76,-0.5135135135135135,84,64,0.5675675675675675,81,67,0.5472972972972973,74,74,0.5
defensive-rebounding-pct,72,76,-0.5135135135135135,72,75,-0.5102040816326531,83,64,0.564625850340136,69,78,-0.5306122448979592,81,66,0.5510204081632653
total-rebounding-percentage,73,74,-0.5034013605442177,77,71,0.5202702702702703,85,61,0.5821917808219178,78,69,0.5306122448979592,76,70,0.5205479452054794
blocks-per-game,74,68,0.5211267605633803,69,73,-0.5140845070422535,67,63,0.5153846153846153,66,79,-0.5448275862068965,83,64,0.564625850340136
steals-per-game,75,70,0.5172413793103449,75,60,0.5555555555555556,87,51,0.6304347826086957,74,74,0.5,78,65,0.5454545454545454
block-pct,76,71,0.5170068027210885,70,77,-0.5238095238095238,70,72,-0.5070422535211268,64,82,-0.5616438356164384,83,64,0.564625850340136
steals-perpossession,78,69,0.5306122448979592,82,64,0.5616438356164384,93,55,0.6283783783783784,77,70,0.5238095238095238,80,65,0.5517241379310345
steal-pct,76,71,0.5170068027210885,82,61,0.5734265734265734,91,56,0.6190476190476191,77,70,0.5238095238095238,77,69,0.5273972602739726
assists-per-game,90,57,0.6122448979591837,81,60,0.574468085106383,84,56,0.6,81,64,0.5586206896551724,88,58,0.6027397260273972
turnovers-per-game,77,66,0.5384615384615384,79,62,0.5602836879432624,74,68,0.5211267605633803,69,75,-0.5208333333333334,82,64,0.5616438356164384
turnovers-per-possession,69,78,-0.5306122448979592,69,76,-0.5241379310344828,71,77,-0.5202702702702703,77,69,0.5273972602739726,65,83,-0.5608108108108109
assist--per--turnover-ratio,85,62,0.5782312925170068,87,60,0.5918367346938775,81,67,0.5472972972972973,77,71,0.5202702702702703,87,61,0.5878378378378378
assists-per-fgm,87,61,0.5878378378378378,83,64,0.564625850340136,82,65,0.5578231292517006,80,68,0.5405405405405406,89,56,0.6137931034482759
assists-per-possession,96,51,0.6530612244897959,89,58,0.6054421768707483,87,61,0.5878378378378378,80,65,0.5517241379310345,86,62,0.581081081081081
turnover-pct,80,67,0.54421768707483,78,70,0.527027027027027,76,71,0.5170068027210885,67,80,-0.54421768707483,87,60,0.5918367346938775
personal-fouls-per-game,74,74,0.5,59,86,-0.593103448275862,68,65,0.5112781954887218,72,74,-0.5068493150684932,72,74,-0.5068493150684932
personal-fouls-per-possession,75,71,0.5136986301369864,69,77,-0.5273972602739726,82,64,0.5616438356164384,74,72,0.5068493150684932,78,68,0.5342465753424658
personal-foul-pct,72,74,-0.5068493150684932,63,84,-0.5714285714285714,77,69,0.5273972602739726,72,76,-0.5135135135135135,77,69,0.5273972602739726
opponent-points-per-game,78,70,0.527027027027027,79,66,0.5448275862068965,84,61,0.5793103448275863,78,68,0.5342465753424658,76,71,0.5170068027210885
opponent-average-scoring-margin,90,58,0.6081081081081081,95,53,0.6418918918918919,92,54,0.6301369863013698,80,68,0.5405405405405406,84,64,0.5675675675675675
defensive-efficiency,86,60,0.589041095890411,86,62,0.581081081081081,95,52,0.6462585034013606,80,68,0.5405405405405406,84,64,0.5675675675675675
opponent-floor-percentage,80,67,0.54421768707483,84,62,0.5753424657534246,93,55,0.6283783783783784,74,70,0.5138888888888888,81,64,0.5586206896551724
opponent-1st-half-points-per-game,74,73,0.5034013605442177,79,66,0.5448275862068965,76,66,0.5352112676056338,67,79,-0.541095890410959,79,68,0.5374149659863946
opponent-2nd-half-points-per-game,79,67,0.541095890410959,81,65,0.5547945205479452,82,60,0.5774647887323944,83,64,0.564625850340136,76,71,0.5170068027210885
opponent-overtime-points-per-game,53,57,-0.5181818181818182,16,19,-0.5428571428571428,2,6,-0.75,35,29,0.546875,42,46,-0.5227272727272727
opponent-points-from-2-pointers,65,80,-0.5517241379310345,74,69,0.5174825174825175,64,75,-0.539568345323741,71,76,-0.5170068027210885,73,74,-0.5034013605442177
opponent-points-from-3-pointers,88,58,0.6027397260273972,88,55,0.6153846153846154,80,53,0.6015037593984962,84,63,0.5714285714285714,89,55,0.6180555555555556
opponent-percent-of-points-from-2-pointers,67,79,-0.541095890410959,67,81,-0.5472972972972973,64,84,-0.5675675675675675,71,77,-0.5202702702702703,62,85,-0.5782312925170068
opponent-percent-of-points-from-3-pointers,87,61,0.5878378378378378,82,65,0.5578231292517006,80,67,0.54421768707483,84,64,0.5675675675675675,79,67,0.541095890410959
opponent-percent-of-points-from-free-throws,69,78,-0.5306122448979592,59,88,-0.5986394557823129,81,67,0.5472972972972973,66,78,-0.5416666666666666,73,75,-0.5067567567567568
opponent-shooting-pct,89,59,0.6013513513513513,84,63,0.5714285714285714,84,63,0.5714285714285714,80,67,0.54421768707483,84,61,0.5793103448275863
opponent-effective-field-goal-pct,87,59,0.5958904109589042,87,60,0.5918367346938775,92,54,0.6301369863013698,84,63,0.5714285714285714,85,62,0.5782312925170068
opponent-three-point-pct,86,62,0.581081081081081,90,58,0.6081081081081081,87,60,0.5918367346938775,75,73,0.5067567567567568,88,59,0.5986394557823129
opponent-two-point-pct,87,60,0.5918367346938775,76,71,0.5170068027210885,75,73,0.5067567567567568,80,68,0.5405405405405406,84,61,0.5793103448275863
opponent-free-throw-pct,78,67,0.5379310344827586,80,67,0.54421768707483,78,67,0.5379310344827586,69,76,-0.5241379310344828,74,72,0.5068493150684932
opponent-true-shooting-percentage,83,62,0.5724137931034483,86,61,0.5850340136054422,91,54,0.6275862068965518,84,64,0.5675675675675675,85,63,0.5743243243243243
opponent-field-goals-made-per-game,82,64,0.5616438356164384,82,64,0.5616438356164384,81,60,0.574468085106383,79,69,0.5337837837837838,75,69,0.5208333333333334
opponent-field-goals-attempted-per-game,73,75,-0.5067567567567568,75,69,0.5208333333333334,69,68,0.5036496350364964,73,73,0.5,74,74,0.5
opponent-three-pointers-made-per-game,87,57,0.6041666666666666,88,55,0.6153846153846154,80,53,0.6015037593984962,83,63,0.5684931506849316,87,54,0.6170212765957447
opponent-three-pointers-attempted-per-game,81,64,0.5586206896551724,74,71,0.5103448275862069,68,71,-0.5107913669064749,85,61,0.5821917808219178,77,69,0.5273972602739726
opponent-free-throws-made-per-game,70,76,-0.5205479452054794,65,78,-0.5454545454545454,76,62,0.5507246376811594,68,79,-0.5374149659863946,77,69,0.5273972602739726
opponent-free-throws-attempted-per-game,67,75,-0.528169014084507,64,77,-0.5460992907801419,73,65,0.5289855072463768,70,77,-0.5238095238095238,79,68,0.5374149659863946
opponent-three-point-rate,86,61,0.5850340136054422,78,70,0.527027027027027,67,80,-0.54421768707483,86,61,0.5850340136054422,84,64,0.5675675675675675
opponent-two-point-rate,61,86,-0.5850340136054422,70,78,-0.527027027027027,80,67,0.54421768707483,61,86,-0.5850340136054422,64,84,-0.5675675675675675
opponent-fta-per-fga,68,80,-0.5405405405405406,68,80,-0.5405405405405406,77,69,0.5273972602739726,68,79,-0.5374149659863946,79,68,0.5374149659863946
opponent-ftm-per-100-possessions,77,71,0.5202702702702703,71,77,-0.5202702702702703,83,64,0.564625850340136,71,77,-0.5202702702702703,83,65,0.5608108108108109
opponent-free-throw-rate,70,78,-0.527027027027027,72,76,-0.5135135135135135,75,73,0.5067567567567568,68,79,-0.5374149659863946,78,70,0.527027027027027
opponent-non-blocked-2-pt-pct,89,58,0.6054421768707483,74,72,0.5068493150684932,71,74,-0.5103448275862069,82,65,0.5578231292517006,83,65,0.5608108108108109
opponent-offensive-rebounds-per-game,76,69,0.5241379310344828,71,71,0.5,75,59,0.5597014925373134,76,71,0.5170068027210885,76,69,0.5241379310344828
opponent-defensive-rebounds-per-game,75,71,0.5136986301369864,73,70,0.5104895104895105,75,63,0.5434782608695652,78,67,0.5379310344827586,67,79,-0.541095890410959
opponent-team-rebounds-per-game,79,64,0.5524475524475524,64,63,0.5039370078740157,61,65,-0.5158730158730159,80,64,0.5555555555555556,74,69,0.5174825174825175
opponent-total-rebounds-per-game,74,72,0.5068493150684932,72,71,0.5034965034965035,76,66,0.5352112676056338,77,70,0.5238095238095238,79,67,0.541095890410959
opponent-offensive-rebounding-pct,72,76,-0.5135135135135135,72,75,-0.5102040816326531,83,64,0.564625850340136,69,78,-0.5306122448979592,81,66,0.5510204081632653
opponent-defensive-rebounding-pct,80,68,0.5405405405405406,72,76,-0.5135135135135135,84,64,0.5675675675675675,81,67,0.5472972972972973,74,74,0.5
opponent-blocks-per-game,59,80,-0.5755395683453237,58,77,-0.5703703703703704,54,69,-0.5609756097560976,70,73,-0.5104895104895105,55,88,-0.6153846153846154
opponent-steals-per-game,78,66,0.5416666666666666,75,64,0.539568345323741,68,67,0.5037037037037037,66,77,-0.5384615384615384,83,60,0.5804195804195804
opponent-block-pct,61,81,-0.5704225352112676,69,79,-0.5337837837837838,64,80,-0.5555555555555556,70,73,-0.5104895104895105,59,89,-0.6013513513513513
opponent-steals-perpossession,79,68,0.5374149659863946,79,69,0.5337837837837838,74,74,0.5,67,79,-0.541095890410959,86,60,0.589041095890411
opponent-steal-pct,79,67,0.541095890410959,82,65,0.5578231292517006,75,72,0.5102040816326531,70,74,-0.5138888888888888,90,57,0.6122448979591837
opponent-assists-per-game,63,84,-0.5714285714285714,56,89,-0.6137931034482759,60,79,-0.5683453237410072,73,72,0.503448275862069,61,87,-0.5878378378378378
opponent-turnovers-per-game,67,80,-0.54421768707483,72,69,0.5106382978723404,79,60,0.5683453237410072,68,78,-0.5342465753424658,71,75,-0.5136986301369864
opponent-assist--per--turnover-ratio,81,67,0.5472972972972973,89,58,0.6054421768707483,89,57,0.6095890410958904,74,73,0.5034013605442177,76,72,0.5135135135135135
opponent-assists-per-fgm,83,65,0.5608108108108109,83,64,0.564625850340136,76,71,0.5170068027210885,80,67,0.54421768707483,78,70,0.527027027027027
opponent-assists-per-possession,67,77,-0.5347222222222222,61,87,-0.5878378378378378,62,86,-0.581081081081081,71,75,-0.5136986301369864,62,84,-0.5753424657534246
opponent-turnovers-per-possession,73,75,-0.5067567567567568,73,72,0.503448275862069,87,62,0.5838926174496645,70,75,-0.5172413793103449,68,76,-0.5277777777777778
opponent-turnover-pct,72,74,-0.5068493150684932,76,70,0.5205479452054794,85,61,0.5821917808219178,71,76,-0.5170068027210885,70,78,-0.527027027027027
opponent-personal-fouls-per-game,79,65,0.5486111111111112,78,63,0.5531914893617021,74,59,0.556390977443609,81,67,0.5472972972972973,74,71,0.5103448275862069
opponent-personal-fouls-per-possession,76,71,0.5170068027210885,74,72,0.5068493150684932,83,64,0.564625850340136,80,66,0.547945205479452,75,71,0.5136986301369864
opponent-personal-foul-pct,75,70,0.5172413793103449,73,73,0.5,80,65,0.5517241379310345,77,70,0.5238095238095238,71,76,-0.5170068027210885
possessions-per-game,71,76,-0.5170068027210885,75,73,0.5067567567567568,75,64,0.539568345323741,70,75,-0.5172413793103449,73,74,-0.5034013605442177
extra-chances-per-game,85,59,0.5902777777777778,86,58,0.5972222222222222,80,57,0.583941605839416,82,66,0.5540540540540541,86,61,0.5850340136054422
effective-possession-ratio,81,65,0.5547945205479452,83,65,0.5608108108108109,80,66,0.547945205479452,80,68,0.5405405405405406,85,61,0.5821917808219178
opponent-effective-possession-ratio,74,73,0.5034013605442177,84,63,0.5714285714285714,86,59,0.593103448275862,77,70,0.5238095238095238,75,70,0.5172413793103449
